"20MICRONS","INE144J01027"
"IFBAGRO","INE076C01018"
"IFBIND","INE559A01017"
"IFCI","INE039A01010"
"IFGLREFRAC","INE023B01012"
"IGARASHI","INE188B01013"
"IGL","INE203G01019"
"IGPL","INE204A01010"
"IIFL","INE530B01024"
"IITL","INE886A01014"
"IL&FSENGG","INE369I01014"
"IL&FSTRANS","INE975G01012"
"IMFA","INE919H01018"
"IMPAL","INE547E01014"
"IMPEXFERRO","INE691G01015"
"INDBANK","INE841B01017"
"INDHOTEL","INE053A01029"
"INDIACEM","INE383A01012"
"INDIAGLYCO","INE560A01015"
"INDIANB","INE562A01011"
"INDIANCARD","INE061A01014"
"INDIANHUME","INE323C01030"
"INDIGO","INE646L01027"
"INDLMETER","INE065B01013"
"INDNIPPON","INE092B01017"
"INDOCO","INE873D01024"
"INDORAMA","INE156A01020"
"INDOSOLAR","INE866K01015"
"INDOTECH","INE332H01014"
"INDOTHAI","INE337M01013"
"INDOWIND","INE227G01018"
"INDRAMEDCO","INE681B01017"
"INDSWFTLAB","INE915B01019"
"INDSWFTLTD","INE788B01028"
"INDTERRAIN","INE611L01021"
"INDUSINDBK","INE095A01012"
"INEOSSTYRO","INE189B01011"
"INFIBEAM","INE483S01012"
"INFINITE","INE486J01014"
"INFRATEL","INE121J01017"
"INFY","INE009A01021"
"INGERRAND","INE177A01018"
"INOXLEISUR","INE312H01016"
"INOXWIND","INE066P01011"
"INSECTICID","INE070I01018"
"INTEGRA","INE418N01027"
"INTELLECT","INE306R01017"
"INTENTECH","INE781A01025"
"INVENTURE","INE878H01016"
"IOB","INE565A01014"
"IOC","INE242A01010"
"IOLCP","INE485C01011"
"IPAPPM","INE435A01028"
"IPCALAB","INE571A01020"
"IRB","INE821I01014"
"ISFT","INE566K01011"
"ISMTLTD","INE732F01019"
"ITC","INE154A01025"
"ITDC","INE353K01014"
"ITDCEM","INE686A01026"
"ITI","INE248A01017"
"IVC","INE050B01023"
"IVP","INE043C01018"
"IVRCLINFRA","INE875A01025"
"IZMO","INE848A01014"
"J&KBANK","INE168A01041"
"JAGRAN","INE199G01027"
"JAGSNPHARM","INE048B01027"
"JAIBALAJI","INE091G01018"
"JAICORPLTD","INE070D01027"
"JAIHINDPRO","INE343D01010"
"JAINSTUDIO","INE486B01011"
"JAMNAAUTO","INE039C01024"
"JAYAGROGN","INE785A01026"
"JAYBARMARU","INE571B01028"
"JAYNECOIND","INE854B01010"
"JAYSREETEA","INE364A01020"
"JBCHEPHARM","INE572A01028"
"JBFIND","INE187A01017"
"JBMA","INE927D01028"
"JCHAC","INE782A01015"
"JETAIRWAYS","INE802G01018"
"JHS","INE544H01014"
"JINDALPHOT","INE796G01012"
"JINDALPOLY","INE197D01010"
"JINDALSAW","INE324A01024"
"JINDALSTEL","INE749A01030"
"JINDCOT","INE904J01016"
"JINDRILL","INE742C01031"
"JINDWORLD","INE247D01013"
"JISLDVREQS","IN9175A01010"
"JISLJALEQS","INE175A01038"
"JITFINFRA","INE863T01013"
"JKCEMENT","INE823G01014"
"JKIL","INE576I01022"
"JKLAKSHMI","INE786A01032"
"JKPAPER","INE789E01012"
"JKTYRE","INE573A01042"
"JMA","INE412C01015"
"JMCPROJECT","INE890A01016"
"JMFINANCIL","INE780C01023"
"JMTAUTOLTD","INE988E01036"
"JOCIL","INE839G01010"
"JPASSOCIAT","INE455F01025"
"JPINFRATEC","INE099J01015"
"JPOLYINVST","INE147P01019"
"JPPOWER","INE351F01018"
"JSL","INE220G01021"
"JSLHISAR","INE455T01018"
"JSWENERGY","INE121E01018"
"JSWHL","INE824G01012"
"JSWSTEEL","INE019A01038"
"JUBILANT","INE700A01033"
"JUBLFOOD","INE797F01012"
"JUBLINDS","INE645L01011"
