"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Atlanta Limited","106.45","112.05","120.50","101.70","61.50","4.96","21.47","0.28","0.30","22.45%","53.59%","55.53%","3.07%","7.99%","532759","BSE"
"Atlas Cycles (Haryana) Ltd","217.70","223.00","694.00","216.80","205.25","-4.86","","","","0.44%","1.43%","2.12%","0.87%","3.18%","505029","BSE"
"Kavit Industries Ltd","23.35","23.35","42.00","22.45","13.05","-0.49","","","","-1.69%","0.71%","0.94%","-1.68%","-4.72%","524444","BSE"
"Atul Auto Ltd","426.60","429.35","511.90","425.00","389.85","18.28","23.34","1.00","1.50","7.85%","11.52%","12.63%","15.98%","22.26%","531795","BSE"
"Atul Ltd","2,565.30","2,600.00","2,635.00","2,535.00","1,951.25","","","0.39","10.00","10.79%","13.70%","16.83%","12.33%","18.04%","500027","BSE"
"ATV Projects India Ltd","10.00","10.15","11.67","9.40","5.25","27.82","0.36","","","253.10%","251.97%","8.54%","57.47%","","500028","BSE"
"Aunde India Ltd","55.30","58.15","84.05","55.30","40.55","2.18","25.40","","","2.07%","5.33%","8.69%","2.00%","7.44%","532459","BSE"
"Aurangabad Paper Mills Ltd","1.64","","2.13","","1.64","","","","","","","","","","502352","BSE"
"aurionPro Solutions Limited","184.00","187.80","200.05","178.45","99.00","11.96","15.39","0.54","1.00","6.36%","12.27%","12.05%","4.07%","7.01%","532668","BSE"
"Auro Laboratories Ltd","95.95","100.00","112.85","89.50","31.00","2.15","44.53","","","3.96%","9.76%","12.19%","5.28%","15.11%","530233","BSE"
"Aurobindo Pharma Ltd","694.70","712.70","808.95","691.50","504.00","41.17","16.88","0.40","1.50","15.25%","20.01%","22.85%","14.31%","27.63%","524804","BSE"
"Aurum Soft Systems Ltd","2.03","2.03","2.03","2.03","0.49","-0.08","","","","-4.20%","-5.68%","-5.28%","-1.70%","-2.12%","530885","BSE"
"Austin Engineering Co Ltd","61.10","62.70","75.50","60.05","45.10","-10.28","","","","-4.13%","-3.86%","-2.11%","-3.27%","-5.41%","522005","BSE"
