"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Cigniti Technologies Ltd","267.00","268.00","493.10","263.00","161.45","-145.61","","","","-63.18%","-60.63%","-4.27%","-89.82%","-245.45%","534758","BSE"
"CIL Nova Petrochemicals Ltd","47.00","48.65","56.40","45.00","20.60","2.01","23.39","","","2.25%","3.93%","6.35%","3.20%","7.08%","533407","BSE"
"Cimmco Ltd","116.55","123.45","123.45","110.15","58.20","-0.95","","","","-8.59%","-3.65%","2.97%","-3.19%","-6.02%","505230","BSE"
"Cineline India Ltd","94.10","100.00","104.90","92.80","66.25","3.59","26.19","0.53","0.50","47.08%","51.53%","67.46%","4.45%","11.89%","532807","BSE"
"Cinevista Ltd","16.35","16.60","25.30","15.70","5.35","","","","","0.67%","-12.05%","-5.26%","0.08%","0.10%","532324","BSE"
"Cipla Ltd","600.35","609.40","663.00","597.20","479.00","14.22","42.23","0.33","2.00","7.13%","8.28%","17.32%","4.95%","8.37%","500087","BSE"
"Circuit Systems (India) Limited","13.90","","18.90","","12.18","0.22","63.86","","","-22.82%","-20.55%","11.93%","-15.02%","-20.87%","532913","BSE"
"Citurgia Biochemicals Ltd.","156.00","","179.50","","133.00","-0.21","","","","","","","-4.55%","","506373","BSE"
"City Union Bank Ltd","168.00","168.00","168.00","161.95","115.77","8.08","20.80","0.18","0.30","29.88%","41.17%","46.29%","1.50%","15.18%","532210","BSE"
"Clariant Chemicals (India) Ltd.","582.60","597.50","764.90","581.00","560.10","4.31","135.03","4.29","25.00","2.31%","3.03%","6.79%","2.67%","3.65%","506390","BSE"
"Claris Lifesciences Ltd","346.00","357.50","430.10","345.00","276.00","-2.96","","0.58","2.00","-157.25%","-241.29%","-225.75%","-2.25%","-4.14%","533288","BSE"
"Classic Diamonds India Ltd.","0.46","","1.52","","0.00","-103.93","","","","","","","-33.04%","","523200","BSE"
"Scan Steels Ltd","20.65","","24.80","","8.16","0.51","40.32","","","-2.82%","-0.91%","3.88%","-2.03%","-4.54%","511672","BSE"
"Clutch Auto Limited","6.32","","19.20","","6.32","-25.20","","","","-101.59%","-70.54%","-2.97%","-30.62%","","505052","BSE"
"C. Mahendra Exports Ltd.","1.79","","5.49","","1.16","16.25","0.11","","","3.00%","5.11%","5.39%","3.35%","10.99%","533304","BSE"
"CMC Limited (Parent)","2,034.35","","2,314.00","","1,809.55","90.75","22.42","0.89","4.35","11.03%","12.44%","15.87%","15.06%","22.07%","517326","BSE"
"CMI FPE Ltd","1,049.05","1,065.00","1,166.00","1,025.00","378.55","33.07","31.72","","","2.25%","-5.63%","-2.22%","1.22%","2.26%","500147","BSE"
"CMI Ltd","244.05","249.00","251.30","234.80","132.00","","","","1.00","39.27%","40.75%","11.93%","49.10%","99.81%","517330","BSE"
"Cni Research Ltd","3.44","3.49","4.40","3.26","2.11","-0.09","","","","6.29%","-7.75%","-7.63%","0.49%","0.50%","512018","BSE"
"Coal India Ltd","275.30","278.10","332.10","272.70","234.00","13.24","20.80","7.23","1.15","11.06%","11.19%","14.76%","8.10%","31.23%","533278","BSE"
"Coastal Roadways Ltd","20.00","","34.55","","20.00","","","","","","","","","","520131","BSE"
"Cochin Minerals and Rutile Ltd","137.00","144.00","160.00","136.60","77.00","-5.04","","","","-3.72%","-0.88%","-0.27%","-3.83%","-7.95%","513353","BSE"
"Colgate-Palmolive (India) Limited","1,037.00","1,052.95","1,175.50","1,030.00","861.90","21.48","48.27","1.25","4.00","12.77%","18.00%","20.95%","26.69%","50.11%","500830","BSE"
