"2017-12-01 15:11:27.636468"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","BookValue","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"518091","238.2","0","0","0","0","84.593","133.777","0","0","0.0","13.25%","19.55%","0.26293","0.0","0.0","518091","BSE"
"531223","33.25","0","0","0","0","42.206","342.65","0","0","0.0","0.90%","3.33%","0.04473","0.0","0.0","531223","BSE"
"531519","10.4","0","0","0","0","1.151","2.432","0","0","0.0","-1.56%","-1.39%","0.0","0.0","0.0","531519","BSE"
"530799","8.55","0","0","0","0","21.333","3.002","0","0","0.0","21.66%","29.94%","0.0","0.02389","0.03115","530799","BSE"
"523007","96.8","0","0","0","0","134.402","75.16","0","0","0.0","-1.38%","25.99%","0.28768998","0.02394","-0.0076800003","523007","BSE"
"507828","23.8","0","0","0","0","74.395","53.078","0","0","0.0","-0.82%","15.83%","0.16509001","0.0163","-0.0058099995","507828","BSE"
"505665","480.05","0","0","0","0","120.136","139.463","0","0","0.0","5.31%","8.46%","0.15404001","0.0","0.0","505665","BSE"
"506260","182.0","0","0","0","0","54.577","85.761","0","0","0.0","9.24%","9.96%","0.10837","0.0","0.0","506260","BSE"
"517096","23.1","0","0","0","0","-36.053","144.217","0","0","0.0","-17.26%","-2.71%","-0.00543","-0.00966","0.0","517096","BSE"
"523537","63.55","0","0","0","0","91.342","115.631","0","0","0.0","5.01%","6.79%","0.08451","0.04034","0.0648","523537","BSE"
"512437","12.26","0","0","0","0","41.615","0.886","0","0","0.0","-44.69%","-148.40%","0.0","0.0","0.0","512437","BSE"
"508869","1108.0","0","0","0","0","263.889","521.466","0","0","0.0","3.05%","5.80%","0.100209996","0.033970002","0.035940003","508869","BSE"
"500877","250.7","0","0","0","0","143.214","255.773","0","0","0.0","6.69%","8.61%","0.119320005","0.0","0.0","500877","BSE"
"500014","3.36","0","0","0","0","3.041","0.279","0","0","0.0","3.40%","2.87%","0.16508","0.00068999996","0.00312","500014","BSE"
"512344","1.85","0","0","0","0","-1.111","0.728","0","0","0.0","-83.61%","-27.11%","-0.18451999","0.0","0.0","512344","BSE"
"532994","100.45","0","0","0","0","58.562","129.449","0","0","0.0","2.46%","5.97%","0.07613","0.0","0.0","532994","BSE"
"532212","33.6","0","0","0","0","31.741","52.151","0","0","0.0","-3.87%","-4.65%","-0.02118","0.0","0.0","532212","BSE"
"532914","54.35","0","0","0","0","21.512","72.003","0","0","0.0","2.97%","11.39%","0.122370005","0.0","0.0","532914","BSE"
"530261","3.75","0","0","0","0","3.009","13.787","0","0","0.0","-5.00%","-10.13%","-0.075840004","0.0","0.0","530261","BSE"
"532114","3.32","0","0","0","0","2.52","0.06","0","0","0.0","0.00%","-1,423.43%","0.0","-0.012","-0.41492","532114","BSE"
"532935","232.1","0","0","0","0","134.881","196.711","0","0","0.0","3.11%","6.96%","0.102460004","0.0","0.0","532935","BSE"
"511605","173.2","0","0","0","0","48.075","37.987","0","0","0.0","25.02%","35.54%","0.0","0.0","0.0","511605","BSE"
"506074","101.4","0","0","0","0","-47.383","17.705","0","0","0.0","-140.86%","-15.42%","0.15179","0.0","0.0","506074","BSE"
"531297","34.5","0","0","0","0","64.166","42.304","0","0","0.0","-5.79%","1.35%","0.04487","0.0","0.0","531297","BSE"
"522134","89.85","0","0","0","0","1.625","37.619","0","0","0.0","24.23%","9.45%","0.1084","0.0","0.0","522134","BSE"
"500101","436.3","0","0","0","0","138.171","364.897","0","0","0.0","3.18%","6.34%","0.09335","0.0","0.0","500101","BSE"
"512535","1.36","0","0","0","0","0.0","3.97","0","0","0.0","2.31%","4.00%","0.07821","0.0","0.0","512535","BSE"
"513401","29.0","0","0","0","0","58.608","480.761","0","0","0.0","1.55%","4.00%","0.0464","0.0","0.0","513401","BSE"
"512247","3.04","0","0","0","0","1.52","0.142","0","0","0.0","110.83%","71.54%","0.73772","0.0","0.0","512247","BSE"
"526847","17.37","0","0","0","0","41.339","7.129","0","0","0.0","6.41%","-12.74%","-0.04966","0.0","0.0","526847","BSE"
"500477","117.95","0","0","0","0","22.464","78.824","0","0","0.0","6.99%","11.96%","0.14352","0.06995","0.25857002","500477","BSE"
